date,season,HomeTeam,AwayTeam,gf,ga,home_rolling_xg,away_rolling_xg,home_rolling_xga,away_rolling_xga,home_rolling_points,away_rolling_points,home_rolling_poss,away_rolling_poss,home_rolling_sot_ratio,away_rolling_sot_ratio,xg_diff,xga_diff,outcome,over_2_5
2023-12-17,2024,Arsenal,Brighton,2,0,1.9600000000000002,1.6,0.64,1.44,2.4,1.6,62.0,63.0,0.3197520976353928,0.45161964472309296,0.3600000000000001,-0.7999999999999999,0,0
2023-12-28,2024,Arsenal,West Ham,0,2,1.8800000000000001,1.3800000000000001,0.7,1.3400000000000003,2.0,2.0,56.2,39.6,0.2837264566097518,0.41355866355866355,0.5,-0.6400000000000003,2,0
2024-01-20,2024,Arsenal,Crystal Palace,5,0,1.7400000000000002,1.3799999999999997,0.9799999999999999,1.6,0.8,1.0,58.2,33.6,0.24179487179487183,0.35949050949050954,0.36000000000000054,-0.6200000000000002,0,1
2024-02-04,2024,Arsenal,Liverpool,3,1,1.9000000000000004,2.84,0.8800000000000001,0.82,1.4,2.6,62.8,58.2,0.228502024291498,0.42271330034487936,-0.9399999999999995,0.060000000000000164,0,1
2024-02-24,2024,Arsenal,Newcastle,4,1,2.78,1.7800000000000005,0.34,2.1,3.0,1.6,62.0,49.0,0.3632456140350877,0.41077694235588974,0.9999999999999993,-1.76,0,1
2024-03-09,2024,Arsenal,Brentford,2,1,2.8999999999999995,1.3199999999999998,0.26,1.92,3.0,0.8,62.4,37.8,0.42459595959595964,0.4514285714285714,1.5799999999999996,-1.66,0,1
2024-04-03,2024,Arsenal,Luton,2,0,1.8799999999999997,1.14,0.54,2.3600000000000003,2.6,0.4,59.6,45.6,0.36508615567439096,0.37285714285714283,0.7399999999999998,-1.8200000000000003,0,0
2024-04-14,2024,Arsenal,Aston Villa,0,2,1.6800000000000002,0.9599999999999997,0.6,1.9799999999999998,2.6,1.0,56.6,50.2,0.33200473417191684,0.3173776223776224,0.7200000000000004,-1.38,2,0
2024-04-23,2024,Arsenal,Chelsea,5,0,1.52,2.44,0.58,1.34,2.0,2.2,47.6,59.2,0.31080746738641474,0.4916666666666666,-0.9199999999999999,-0.7600000000000001,0,1
2024-05-04,2024,Arsenal,Bournemouth,3,0,2.1,1.52,1.1,1.3,2.4,1.4,47.0,40.0,0.32334307992202727,0.2736813186813187,0.5800000000000001,-0.19999999999999996,0,1
2024-05-19,2024,Arsenal,Everton,2,1,2.06,1.2000000000000002,1.02,1.0600000000000003,3.0,2.6,47.6,44.2,0.3733164983164983,0.3248412698412698,0.8599999999999999,-0.04000000000000026,0,1
2024-08-17,2025,Arsenal,Wolves,2,0,2.3999999999999995,0.8200000000000001,1.0999999999999999,2.66,3.0,0.6,50.4,51.6,0.33677803677803675,0.44454212454212455,1.5799999999999994,-1.5600000000000003,0,0
2024-08-31,2025,Arsenal,Brighton,1,1,1.9599999999999997,1.58,0.6599999999999999,1.3800000000000001,3.0,1.4,56.4,52.2,0.3515928515928516,0.26733893557422966,0.37999999999999967,-0.7200000000000002,1,0
2024-09-28,2025,Arsenal,Leicester,4,2,1.12,0.78,1.24,1.6,2.2,0.6,41.8,45.0,0.5171139971139971,0.3546031746031746,0.3400000000000001,-0.3600000000000001,0,1
2024-10-05,2025,Arsenal,Southampton,3,1,1.7600000000000002,1.14,1.2,2.1,2.2,0.2,46.0,56.8,0.5418759018759018,0.3078787878787879,0.6200000000000003,-0.9000000000000001,0,1
2024-10-27,2025,Arsenal,Liverpool,2,2,1.86,1.7399999999999998,1.1,0.74,2.0,2.4,48.8,58.4,0.4004269293924466,0.45885547201336685,0.12000000000000033,0.3600000000000001,1,1
2024-11-23,2025,Arsenal,Nott'm Forest,3,0,1.4,1.42,1.04,1.1600000000000004,1.0,2.0,53.8,43.8,0.18753315649867372,0.35232456140350876,-0.020000000000000018,-0.12000000000000033,0,1
2024-12-04,2025,Arsenal,Man United,2,0,1.64,1.4,0.9199999999999999,1.3399999999999999,1.6,1.6,57.0,55.0,0.24740697898592634,0.3253457653457653,0.24,-0.41999999999999993,0,0
2024-12-14,2025,Arsenal,Everton,0,0,2.0200000000000005,1.1000000000000003,0.74,0.9000000000000001,2.2,1.0,58.8,45.8,0.3331212647002121,0.255519943019943,0.9200000000000002,-0.16000000000000014,1,0
2024-12-27,2025,Arsenal,Ipswich,1,0,2.2199999999999998,0.8400000000000001,0.7200000000000001,2.0,2.2,0.6,62.2,48.2,0.3864468864468864,0.2571428571428571,1.3799999999999997,-1.2799999999999998,0,0
2025-01-15,2025,Arsenal,Tottenham,2,1,1.6599999999999997,1.5200000000000002,0.74,2.1399999999999997,2.2,0.8,61.4,56.8,0.36336996336996336,0.3675213675213676,0.13999999999999946,-1.3999999999999997,0,1
2025-01-18,2025,Arsenal,Aston Villa,2,2,1.7,1.2599999999999998,0.8800000000000001,1.2599999999999998,2.6,2.0,56.8,50.2,0.3435897435897436,0.32213838792786165,0.44000000000000017,-0.37999999999999967,1,1
2025-02-02,2025,Arsenal,Man City,5,1,1.3,2.12,0.86,1.4999999999999998,2.2,2.6,54.6,56.2,0.3142857142857143,0.4735014005602241,-0.8200000000000001,-0.6399999999999998,0,1
2025-02-22,2025,Arsenal,West Ham,0,1,1.22,0.9199999999999999,0.7000000000000001,1.4200000000000002,2.6,0.8,54.8,48.2,0.3980519480519481,0.31043956043956045,0.30000000000000004,-0.7200000000000001,2,0
2025-03-16,2025,Arsenal,Chelsea,1,0,1.2399999999999998,1.7,0.8,1.14,1.6,1.8,61.2,60.2,0.3135486082544906,0.27569377990430616,-0.4600000000000002,-0.33999999999999986,0,0
2025-04-01,2025,Arsenal,Fulham,2,1,1.18,1.1800000000000002,0.72,1.08,1.6,1.8,60.4,52.2,0.2635486082544906,0.2691142191142191,-2.220446049250313e-16,-0.3600000000000001,0,1
2025-04-12,2025,Arsenal,Brentford,1,1,1.46,1.1199999999999999,0.8800000000000001,1.3800000000000001,1.8,1.0,58.8,49.2,0.2568411980176686,0.25696192696192693,0.3400000000000001,-0.5,1,0
2025-04-23,2025,Arsenal,Crystal Palace,2,2,1.6199999999999999,1.0999999999999999,0.58,1.52,2.2,1.0,60.0,39.6,0.2720588235294118,0.2566666666666667,0.52,-0.9400000000000001,1,1
2025-05-03,2025,Arsenal,Bournemouth,1,2,1.72,1.3,0.8400000000000001,1.1199999999999999,1.8,1.2,65.0,51.6,0.2720588235294118,0.2510606060606061,0.41999999999999993,-0.2799999999999998,2,1
2025-05-18,2025,Arsenal,Newcastle,1,0,1.7200000000000002,1.6400000000000001,1.08,1.1400000000000001,1.2,2.0,62.2,57.6,0.3093956043956044,0.33166666666666667,0.08000000000000007,-0.06000000000000005,0,0
2020-10-23,2021,Aston Villa,Leeds,0,3,1.45,1.26,1.0,1.48,3.0,1.4,47.0,56.6,0.38472222222222224,0.4748868778280543,0.18999999999999995,-0.48,2,1
2020-11-01,2021,Aston Villa,Southampton,3,4,1.44,1.2799999999999998,1.34,1.0,2.4,2.0,45.8,52.2,0.3577777777777778,0.4246153846153846,0.16000000000000014,0.3400000000000001,2,1
2020-11-21,2021,Aston Villa,Brighton,1,2,1.7,1.06,1.4600000000000002,1.0,1.8,0.6,43.8,57.6,0.4188888888888889,0.3027910685805423,0.6399999999999999,0.4600000000000002,2,1
2020-12-17,2021,Aston Villa,Burnley,0,0,1.8199999999999998,0.9400000000000001,1.02,1.7,1.2,1.6,53.8,39.2,0.31666666666666665,0.2672222222222222,0.8799999999999998,-0.6799999999999999,1,0
2020-12-26,2021,Aston Villa,Crystal Palace,3,0,1.8599999999999999,1.0400000000000003,0.6399999999999999,1.16,1.4,1.0,59.6,47.0,0.29444444444444445,0.3491666666666667,0.8199999999999996,-0.52,0,1
2021-01-23,2021,Aston Villa,Newcastle,2,0,1.7999999999999996,0.42000000000000004,1.6200000000000003,1.9,1.4,0.2,45.2,33.4,0.3693939393939394,0.2928571428571428,1.3799999999999994,-0.2799999999999996,0,0
2021-02-03,2021,Aston Villa,West Ham,1,3,1.42,1.72,1.6800000000000002,0.82,1.2,2.4,48.6,44.6,0.42193362193362194,0.34897631779984717,-0.30000000000000004,0.8600000000000002,2,1
2021-02-06,2021,Aston Villa,Arsenal,1,0,1.28,1.34,1.6,0.9800000000000001,1.2,1.6,49.4,52.6,0.39971139971139974,0.32357694592988706,-0.06000000000000005,0.62,0,0
2021-02-21,2021,Aston Villa,Leicester,1,2,0.9600000000000002,1.42,1.42,1.2,1.4,1.6,47.0,50.6,0.43888888888888894,0.41840264998159726,-0.45999999999999974,0.21999999999999997,2,1
2021-03-06,2021,Aston Villa,Wolves,0,0,1.14,0.8400000000000001,1.1800000000000002,1.6599999999999997,1.4,1.6,46.2,43.0,0.35858585858585856,0.23919413919413915,0.2999999999999998,-0.47999999999999954,1,0
2021-03-21,2021,Aston Villa,Tottenham,0,2,1.1800000000000002,1.58,1.2000000000000002,0.9400000000000001,1.0,1.8,50.8,55.4,0.2774747474747475,0.35527777777777775,-0.3999999999999999,0.2600000000000001,2,0
2021-04-04,2021,Aston Villa,Fulham,3,1,0.9799999999999999,1.06,1.34,1.2200000000000002,1.0,0.8,50.6,50.8,0.2661111111111111,0.25685314685314686,-0.08000000000000018,0.11999999999999988,0,1
2021-04-21,2021,Aston Villa,Man City,1,2,0.7799999999999999,1.9200000000000004,1.64,0.8,1.0,1.8,47.6,61.0,0.2954761904761905,0.46225267809181736,-1.1400000000000006,0.8399999999999999,2,1
2021-04-25,2021,Aston Villa,West Brom,2,2,0.7999999999999998,1.58,1.56,1.48,0.8,1.4,43.4,42.2,0.34825396825396826,0.28424908424908424,-0.7800000000000002,0.08000000000000007,1,1
2021-05-09,2021,Aston Villa,Man United,1,3,1.4999999999999998,1.7600000000000002,1.4,0.78,1.4,2.6,47.8,59.2,0.40713356691617564,0.4074509803921568,-0.26000000000000045,0.6199999999999999,2,1
2021-05-13,2021,Aston Villa,Everton,0,0,1.3,1.04,1.5399999999999998,1.2600000000000002,0.8,1.6,45.4,43.6,0.44089980068240936,0.22475490196078432,0.26,0.2799999999999996,1,0
2021-05-23,2021,Aston Villa,Chelsea,2,1,1.1,1.9600000000000002,1.28,0.78,1.4,2.4,49.4,56.2,0.29123297754876704,0.3696379428964568,-0.8600000000000001,0.5,0,1
2021-08-21,2022,Aston Villa,Newcastle,2,0,1.14,1.9200000000000004,1.64,1.6600000000000001,1.4,1.8,48.8,36.6,0.2234008097165992,0.31684173669467786,-0.7800000000000005,-0.02000000000000024,0,0
2021-09-18,2022,Aston Villa,Everton,3,0,1.0799999999999996,1.6199999999999999,1.48,1.2399999999999998,1.4,2.0,45.4,39.8,0.3317460317460318,0.3776098901098901,-0.5400000000000003,0.2400000000000002,0,1
2021-10-16,2022,Aston Villa,Wolves,2,3,0.9799999999999999,1.3800000000000001,1.2799999999999998,0.9799999999999999,1.4,1.8,45.8,51.2,0.3780952380952381,0.3438095238095238,-0.40000000000000024,0.29999999999999993,2,1
2021-10-31,2022,Aston Villa,West Ham,1,4,1.0799999999999998,1.44,1.7799999999999998,1.2,1.2,1.8,47.0,49.0,0.32,0.27709401709401715,-0.3600000000000001,0.5799999999999998,2,1
2021-11-20,2022,Aston Villa,Brighton,2,0,0.9799999999999999,1.1400000000000001,1.78,1.44,0.0,0.8,45.2,55.4,0.3038095238095238,0.35735375735375735,-0.16000000000000025,0.3400000000000001,0,0
2021-12-01,2022,Aston Villa,Man City,1,2,0.7799999999999999,2.1399999999999997,1.4,0.6599999999999999,1.2,2.4,41.6,66.4,0.36063492063492064,0.37626843643635943,-1.3599999999999999,0.74,2,1
2021-12-05,2022,Aston Villa,Leicester,2,1,0.6599999999999999,1.2,1.06,1.6600000000000001,1.2,1.0,39.4,51.6,0.3473015873015873,0.4855555555555555,-0.54,-0.6000000000000001,0,1
2021-12-26,2022,Aston Villa,Chelsea,1,3,1.1199999999999999,1.6600000000000001,1.1600000000000001,1.0,1.8,1.6,40.2,62.4,0.25879336349924587,0.3427835894083033,-0.5400000000000003,0.16000000000000014,2,1
2022-01-15,2022,Aston Villa,Man United,2,2,1.1,1.54,1.4000000000000001,0.96,1.2,2.0,45.2,57.8,0.2196266968325792,0.26143162393162395,-0.43999999999999995,0.44000000000000017,1,1
2022-02-09,2022,Aston Villa,Leeds,3,3,1.18,1.34,1.2600000000000002,2.18,1.4,1.2,50.2,51.4,0.3715497737556561,0.3057303807303807,-0.16000000000000014,-0.9199999999999999,1,1
2022-02-19,2022,Aston Villa,Watford,0,1,1.1400000000000001,0.8400000000000001,1.1,1.06,1.0,0.4,52.2,46.8,0.3608100233100233,0.24202020202020202,0.30000000000000004,0.040000000000000036,2,0
2022-03-05,2022,Aston Villa,Southampton,4,0,1.06,1.78,1.16,1.2399999999999998,1.4,2.2,49.0,47.6,0.25873737373737377,0.4079697571688419,-0.72,-0.07999999999999985,0,1
2022-03-19,2022,Aston Villa,Arsenal,0,1,1.48,1.7399999999999998,0.8800000000000001,0.76,1.8,2.4,46.6,54.6,0.4551526251526251,0.2512393162393162,-0.2599999999999998,0.1200000000000001,2,0
2022-04-09,2022,Aston Villa,Tottenham,0,4,1.5399999999999998,2.46,1.02,0.6,1.2,2.4,47.6,55.4,0.4384065934065934,0.3147918816649467,-0.9200000000000002,0.42000000000000004,2,1
2022-04-30,2022,Aston Villa,Norwich,2,0,1.2400000000000002,1.1400000000000001,1.04,2.1599999999999997,0.2,0.8,47.8,43.0,0.32859114569640885,0.2705882352941177,0.10000000000000009,-1.1199999999999997,0,0
